organisasjonsnummer,navn,naeringskode1,naeringskode1_beskrivelse,naeringskode2,naeringskode2_beskrivelse,naeringskode3,naeringskode3_beskrivelse,organisasjonsform,forretningsadresse,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_kommune,forretningsadresse_kommunenummer,postadresse_postnummer,postadresse_poststed,antall_ansatte,stiftelsesdato,registreringsdato,hjemmeside,telefon,mobil,epostadresse,er_i_konsern,overordnet_enhet,kapital_belop,kapital_type,kapital_valuta,siste_innsendte_aarsregnskap,institusjonell_sektor,institusjonell_sektor_beskrivelse,registrert_i_mva,registrert_i_foretaksregisteret,konkurs,under_avvikling,under_tvangsavvikling,antall_underenheter,hentet_dato,oppstartsdato,nedleggelsesdato
914293669,AUTOSALG VESTFOLD AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-10-14,,,,,,918089217,,,,,,,False,,,,,,2026-04-11,2014-05-01,
914294096,ASTAD GARASJEN,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-10-14,,,,,,997485459,,,,,,,False,,,,,,2026-04-11,2014-05-01,
914294592,BIL 1 INNLANDET AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,5,,2014-10-13,,,900 81 237,,,914256291,,,,,,,False,,,,,,2026-04-11,2014-10-01,
914300290,PA TEKNIKK AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-10-14,,,969 05 959,info@pa-teknikk.no,,914253330,,,,,,,False,,,,,,2026-04-11,2014-09-23,
914307821,MAX AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,5,,2014-10-15,www.maxauto.no,,934 41 441,mail@maxauto.no,,914217938,,,,,,,False,,,,,,2026-04-11,2014-09-16,
914323150,JOSEFSEN HOLDING AS,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,BEDR,,,,,,,,,,2014-10-20,,,,,,935795583,,,,,,,False,,,,,,2026-04-11,2013-09-04,
914324602,AUTOMEGLER AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-10-20,,,,,,932152606,,,,,,,False,,,,,,2026-04-11,2014-09-21,
914370612,JAN HENNING WALDAL,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-10-28,,,928 94 774,jan.henning.waldal@gmail.com,,914349915,,,,,,,False,,,,,,2026-04-11,2014-10-01,
914418062,VAREBILMEGLEREN AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-11-06,,,952 58 556,,,914386713,,,,,,,False,,,,,,2026-04-11,2014-10-08,
914434327,FARSUND VERKSTED OG UTLEIE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-11-11,,,,,,965910581,,,,,,,False,,,,,,2026-04-11,2014-07-01,
914435188,JOHN GUNNAR STANDAL JGS SALG OG IMPORT,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-11-11,,,986 70 318,jgstandal@gmail.com,,987372923,,,,,,,False,,,,,,2026-04-11,2014-07-01,
914463653,FREDRIK INVEST AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-11-15,,,,,,914457122,,,,,,,False,,,,,,2026-04-11,2014-11-04,
914487285,SAK-EIENDOM AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-11-18,,69 83 84 06,,stian@flatout.no,,814467732,,,,,,,False,,,,,,2026-04-11,2014-11-01,
914546907,SPROVEIEN  HANDEL TOM SANDBERG,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-12-01,,,922 90 975,toms1980@gmail.com,,914536669,,,,,,,False,,,,,,2026-04-11,2014-11-26,
914556295,OSLO BILPARTNER AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,0516,OSLO,,,2014-12-02,www.oslobilpartner.no,22 68 31 00,403 04 444,post@oslo-transport.no,,914438942,,,,,,,False,,,,,,2026-04-11,2014-11-11,
914567394,OSLO BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-12-04,,,,,,914565146,,,,,,,False,,,,,,2026-04-11,2014-12-01,
914578469,AR BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-12-08,,99 32 74 46,480 14 840,almrodni@hotmail.com,,914575494,,,,,,,False,,,,,,2026-04-11,2015-01-02,
914580110,ALLFIX DULAK,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-01-26,,,,,,814549232,,,,,,,False,,,,,,2026-04-11,2014-11-27,
914593700,SPORT & CLASSIC INVEST AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,0601,OSLO,,,2014-12-10,,,97741241,tore.solbakken@bastia.no,,914491762,,,,,,,False,,,,,,2026-04-11,2014-09-18,
914613116,A S KVIA HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,4301,SANDNES,,,2014-12-15,,,,,,921876815,,,,,,,False,,,,,,2026-04-11,2014-01-01,
914622182,BMB BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-12-16,,,959 15 513,,,914491975,,,,,,,False,,,,,,2026-04-11,2014-11-14,
914635004,MØLLER BIL VEST AS MØLLER BIL OSLO VEST VW AVD SALG,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,0609,OSLO,26,,2014-12-20,,,,,,928481638,,,,,,,False,,,,,,2026-04-11,2015-01-01,
914674298,AUTOREGNSKAP AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-12-21,,,,,,983801773,,,,,,,False,,,,,,2026-04-11,2013-01-01,
914674816,FRODE HARTVIGSEN,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-12-21,,,,,,984217862,,,,,,,False,,,,,,2026-04-11,2013-01-01,
914677629,KEN BEKKEN BILKONSULT,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-12-21,,,,,,986052100,,,,,,,False,,,,,,2026-04-11,2013-01-01,
914683785,AASEN BIL HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-12-21,,,,,,988920126,,,,,,,False,,,,,,2026-04-11,2013-01-01,
914688744,ØSTSIDEN HOLDING AS,46.710,Engroshandel med motorvogner,47.810,Detaljhandel med motorvogner,,,BEDR,,,,,,,,,,2014-12-21,,,,,,989221795,,,,,,,False,,,,,,2026-04-11,2013-01-01,
914712823,TTM-HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-12-21,,,,,,996043061,,,,,,,False,,,,,,2026-04-11,2013-01-01,
914714818,MOPEDBIL NORGE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,21,,2014-12-21,mopedbilnorge.no,,911 37 244,andreas@jacobinvest.no,,997493249,,,,,,,False,,,,,,2026-04-11,2013-01-01,
914715083,AUTONOR AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,1641,RÅDE,,,2014-12-21,,,,,,997802233,,,,,,,False,,,,,,2026-04-11,2013-01-01,
914735572,FANNREM AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,5,,2014-12-31,,,412 96 299,,,914630940,,,,,,,False,,,,,,2026-04-11,2014-12-05,
914735955,KØHNE IMPORT OG UTLEIE,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-12-31,,,932 39 488,leif.jk@hotmail.no,,914720044,,,,,,,False,,,,,,2026-04-11,2015-01-01,
914782155,LISTHAUG AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-01-12,,,,,,914735041,,,,,,,False,,,,,,2026-04-11,2014-01-01,
914802938,OSLO AUTO TRADING LTD NUF,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-01-29,,,,,,993629715,,,,,,,False,,,,,,2026-04-11,2015-01-01,
914808006,FREE2MOVE AS,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,BEDR,,,,,,9411,HARSTAD,,,2015-01-16,www.free2move.no,,481 91 999,post@free2move.no,,989774379,,,,,,,False,,,,,,2026-04-11,2014-09-01,
914824702,AUTO-KOMPETANSE ROGER JOHANSEN,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-01-19,,,,auto.kompetanse@outlook.com,,914781310,,,,,,,False,,,,,,2026-04-11,2015-02-01,
914839963,RYJORD BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-01-21,,,979 85 360,,,914738652,,,,,,,False,,,,,,2026-04-11,2015-01-02,
914844673,ÅSEN BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-01-22,,,,,,923485236,,,,,,,False,,,,,,2026-04-11,2015-01-02,
914845726,STJØRDAL AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,9,,2015-01-22,www.stjordalauto.no,40 00 01 73,,post@stjordalauto.no,,928162281,,,,,,,False,,,,,,2026-04-11,2014-10-30,
914856884,DERBENT ASKER AUTOHANDEL,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-01-26,,90 98 58 93,,safak_90@hotmail.no,,914805627,,,,,,,False,,,,,,2026-04-11,2015-01-15,
914870763,HØSBJØRVEIEN 2 EIENDOM AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-01-27,,,,,,914863988,,,,,,,False,,,,,,2026-04-11,2015-01-09,
914879299,0-100,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,5,,2015-01-28,,,,lth@0-100.as,,983096905,,,,,,,False,,,,,,2026-04-11,2014-11-26,
914885051,RSA BIL TRONDHEIM,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,10,,2015-02-05,,,90744911,,,915518389,,,,,,,False,,,,,,2026-04-11,2015-01-28,
914910633,UNIBIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-02-04,,,,,,914890195,,,,,,,False,,,,,,2026-04-11,2015-01-22,
914926092,DRAMMEN MOTORCENTER AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-02-05,,,92881501,,,914638097,,,,,,,False,,,,,,2026-04-11,2015-01-20,
914941687,EIDFJORD AUTOSALG AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,5783,EIDFJORD,,,2015-02-09,www.eidfjordautosalg.no,95 02 19 81,,post@eidfjordautosalg.no,,914846412,,,,,,,False,,,,,,2026-04-11,2015-01-13,
914944511,PÅBYGG SPESIALISTEN AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,5,,2015-02-09,,,90718210,sigve@rkal.no,,998024722,,,,,,,False,,,,,,2026-04-11,2014-01-01,
914952522,STORÅKEREN 15,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-02-10,,77 07 96 66,,ingunn@fordharstad.no,,914947057,,,,,,,False,,,,,,2026-04-11,2015-03-01,
914957850,CLASSIC CARS AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,1067,OSLO,,,2015-02-11,,,928 80 208,classiccarsas@outlook.com,,914906369,,,,,,,False,,,,,,2026-04-11,2015-01-01,
914976928,RESPO TILHENGER AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,1803,ASKIM,,,2015-02-16,,,,,,914970245,,,,,,,False,,,,,,2026-04-11,2015-02-04,
914978602,BERGES BRUKTBIL NUF,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-02-16,,,,,,914912431,,,,,,,False,,,,,,2026-04-11,2015-02-12,
914985935,BERET AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-02-17,,,90 89 12 50,post@beret.no,,914968194,,,,,,,False,,,,,,2026-04-11,2015-01-01,
914990122,BANGGREN AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-02-18,,,,fbang@online.no,,914974712,,,,,,,False,,,,,,2026-04-11,2015-01-01,
914999367,BESTEMOR EIENDOM AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-02-19,,,,,,814989062,,,,,,,False,,,,,,2026-04-11,2015-01-09,
915027954,VEST BOLIGUTLEIE AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,5563,FØRRESFJORDEN,,,2015-02-26,,,995 64 258,roy@kaldheimbil.no,,914986613,,,,,,,False,,,,,,2026-04-11,2015-02-01,
915029116,ROSMO INVEST,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,7056,RANHEIM,,,2015-02-24,,,,,,914993245,,,,,,,False,,,,,,2026-04-11,2015-01-01,
915041507,SANDVEN GRUPPEN AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-02-26,,55 98 58 00,,,,990255075,,,,,,,False,,,,,,2026-04-11,2015-02-01,
915064256,HENGER.NO,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-04,henger.no,,976 71 218,kjell@norske.no,,914994039,,,,,,,False,,,,,,2026-04-11,2015-02-11,
915079776,SVINDAL BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,2041,KLØFTA,,,2015-03-09,www.subaru-romerike.no,63 98 60 60,,jorgen@subaru-romerike.no,,915054927,,,,,,,False,,,,,,2026-04-11,2015-02-02,
915080162,BIL2 AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,9,,2015-03-09,,,,,,915051170,,,,,,,False,,,,,,2026-04-11,2015-02-13,
915110150,AUTOSTRAND AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-14,www.autostrand.no,90 99 91 11,,post@autostrand.no,,815045742,,,,,,,False,,,,,,2026-04-11,2015-02-28,
915116140,MOBILE KONGSVINGER AS AVD SALG KONGEVEGEN,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-16,,,,,,915086268,,,,,,,False,,,,,,2026-04-11,2015-04-01,
915116744,BIL OG MASKIN SENTER AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,1541,VESTBY,,,2015-03-16,,,473 53 407,hl-ras@online.no,,915096026,,,,,,,False,,,,,,2026-04-11,2015-03-10,
915127754,BREILI BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,5,,2015-03-17,,,,,,915108172,,,,,,,False,,,,,,2026-04-11,2015-02-25,
915132278,DINDELER AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-18,,,,,,915128203,,,,,,,False,,,,,,2026-04-11,2015-02-24,
915132332,BRENDEN AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-18,,,902 69 980,knutolabrenden@live.no,,915108393,,,,,,,False,,,,,,2026-04-11,2015-03-01,
915137210,GRANDE AUTOMOTIVE RAYMOND GRANDE HOLTE,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-19,,,99749585,,,915099661,,,,,,,False,,,,,,2026-04-11,2015-01-01,
915138764,NORDISK AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-19,,,,,,815378962,,,,,,,False,,,,,,2026-04-11,2015-03-10,
915152856,AUTOLANE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-23,,,,salasevicius@gmail.com,,915109500,,,,,,,False,,,,,,2026-04-11,2015-03-12,
915156118,JULIUSSENS AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-24,,,950 75 296,,,915144276,,,,,,,False,,,,,,2026-04-11,2015-03-16,
915170455,STENSLAND THORE BILOPPRETTING,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-27,,,,,,837711452,,,,,,,False,,,,,,2026-04-11,2014-11-01,
915172946,TOMRENS TRANSPORT & BILPLEIE,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-27,,,,,,995991004,,,,,,,False,,,,,,2026-04-11,2014-11-01,
915174884,GULBRANDSEN & CO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-26,,,,,,915050654,,,,,,,False,,,,,,2026-04-11,2015-01-01,
915222366,T-M AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-04-11,,,,,,915208819,,,,,,,False,,,,,,2026-04-11,2015-03-15,
915228267,AUTO DEAL ALI NASER JASIM AL-YASSIR,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-04-13,,,,,,815200152,,,,,,,False,,,,,,2026-04-11,2015-03-24,
915230253,SHARIF AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-04-13,,,,,,915197582,,,,,,,False,,,,,,2026-04-11,2015-04-10,
915239331,JGA FRITID AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,1804,SPYDEBERG,,,2015-04-14,,,,,,914866073,,,,,,,False,,,,,,2026-04-11,2015-01-19,
915239919,BIL SPESIALISTEN SANDNES AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-04-14,,,,,,915211577,,,,,,,False,,,,,,2026-04-11,2015-04-01,
915243290,ZUFFENHAUSEN PCC INVEST AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-04-15,,,,,,915238041,,,,,,,False,,,,,,2026-04-11,2015-03-08,
915245889,TJ AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,2717,GRUA,,,2015-04-15,,,,,,915215122,,,,,,,False,,,,,,2026-04-11,2015-02-01,
915256554,MOBILE KOKSTAD AS AVD DROTNINGSVIK SALG,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,7,,2015-04-18,,,,,,952574329,,,,,,,False,,,,,,2026-04-11,2015-01-01,
915261493,VINJE BYGG AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,3864,RAULAND,,,2015-04-18,,,,,,915244211,,,,,,,False,,,,,,2026-04-11,2015-03-22,
915271189,HOVRUD AUTO AS AVD LEIRA I VALDRES,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,BEDR,,,,,,2907,LEIRA I VALDRES,11,,2015-04-20,,,,,,915255604,,,,,,,False,,,,,,2026-04-11,2015-04-01,
915309046,BERGH'S BIL OG KAROSSERI AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,3302,HOKKSUND,7,,2015-04-27,,,,,,915299652,,,,,,,False,,,,,,2026-04-11,2015-04-25,
915316514,AUTOREN AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-04-28,,,,,,915303544,,,,,,,False,,,,,,2026-04-11,2015-05-01,
915322468,SANDVEN AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,7,,2015-04-29,sandven.com,55 98 58 20,,post@sandven.com,,815310772,,,,,,,False,,,,,,2026-04-11,2015-04-15,
915323057,HOVRUD AUTO AS AVD GOL,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,BEDR,,,,,,3551,GOL,10,,2015-04-29,,,,,,915255604,,,,,,,False,,,,,,2026-04-11,2015-04-01,
915323464,BF MOTOR ANS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-05-02,www.bfmotor.no,,995 46 995,jof@bfmotor.no,,915299091,,,,,,,False,,,,,,2026-04-11,2015-05-01,
915340857,DOKKEN AUTO,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-05-05,,,,,,915277519,,,,,,,False,,,,,,2026-04-11,2015-04-17,
915363490,ESBIL EDVARD ANDRIJEVSKIJ,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-05-11,,,47730832,222tgs@gmail.com,,915349951,,,,,,,False,,,,,,2026-04-11,2015-05-04,
915367836,LIER BILMEGLING AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-05-11,,,952 10 000,teh95210000@gmail.com,,915346677,,,,,,,False,,,,,,2026-04-11,2015-04-21,
915371892,HMK BILCON,46.710,Engroshandel med motorvogner,,,,,AAFY,,,,,,,,,,2015-05-12,,63 95 95 80,,,,815268482,,,,,,,False,,,,,,2026-04-11,,
915385125,C.S BIL NORGE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-05-16,www.bjorntvedt.as,47 80 40 00,908 48 489,christer@bjorntvedt.as,,914998646,,,,,,,False,,,,,,2026-04-11,2015-04-01,
915385982,VOITURE INVEST AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,1411,KOLBOTN,,,2015-05-16,,,,voitureinvest@gmail.com,,915370373,,,,,,,False,,,,,,2026-04-11,2015-05-04,
915401686,H HAUSO HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-05-20,,,,,,992312092,,,,,,,False,,,,,,2026-04-11,2015-01-01,
915427286,KOP & COM VIKTOR KOPACH,46.710,Engroshandel med motorvogner,,,,,AAFY,,,,,,,PL-38-500 SANOK,,,2015-05-21,,,,,,915382584,,,,,,,False,,,,,,2026-04-11,,
915428320,VBG AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-05-21,www.vbgauto.no,,,,,925329630,,,,,,,False,,,,,,2026-04-11,2015-06-01,
915484743,T & R SERVICE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-06-04,,64 86 59 19,,,,915346898,,,,,,,False,,,,,,2026-04-11,2015-04-14,
915497594,AQUA BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,7,,2015-06-08,,,,,,915388159,,,,,,,False,,,,,,2026-04-11,2015-04-14,
915511201,PAR PREMIUM COLLECTION AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-06-10,,,,,,915506178,,,,,,,False,,,,,,2026-04-11,2015-05-28,
915550738,NORBOX AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-06-17,,,,,,915510388,,,,,,,False,,,,,,2026-04-11,2015-05-12,
915552242,SØRLANDET BRUKTBIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-06-17,,,477 16 565,,,915457177,,,,,,,False,,,,,,2026-04-11,2015-05-15,
915590365,BIL OG MASKINOMSETNING AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,5,,2015-06-25,,,,,,815548272,,,,,,,False,,,,,,2026-04-11,2015-05-01,
915620167,BRENNES AUTO FREDRIKSTAD AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,9,,2015-07-04,,,,,,815566432,,,,,,,False,,,,,,2026-04-11,2015-06-15,
915655785,AUTO11 AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-07-11,,,,,,915593488,,,,,,,False,,,,,,2026-04-11,2015-06-08,
915661718,AUTO S MOTOR & MARINE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,11,,2015-07-13,,35 01 05 00,,,,915609562,,,,,,,False,,,,,,2026-04-11,2015-06-26,
915681034,PROFF BILMEGLING AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-07-18,,,93 64 24 29,,,915637345,,,,,,,False,,,,,,2026-04-11,2015-06-24,
915683681,HG AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-07-20,,,959 47 785,,,915635350,,,,,,,False,,,,,,2026-04-11,2015-06-01,
915689108,INGIER BIL SIMEN KASPERSEN,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-07-21,,,979 62 216,simen@kaspersenbil.no,,915576710,,,,,,,False,,,,,,2026-04-11,2015-02-01,
915721427,AL-DELFI BILSELSKAP,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-07-29,,,462 26 631,,,915667791,,,,,,,False,,,,,,2026-04-11,2015-07-10,
915724051,BRANSFJELL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-07-30,,,,,,915703836,,,,,,,False,,,,,,2026-04-11,2015-07-15,
915726518,GYLTHE BIL,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-07-30,,,,,,915689620,,,,,,,False,,,,,,2026-04-11,2015-07-20,
915726828,LURA AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,4391,SANDNES,,,2015-07-30,www.luraauto.no,91 60 89 00,930 98 906,eivind@luraauto.no,,915598498,,,,,,,False,,,,,,2026-04-11,2015-07-24,
915735428,ROYAL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-08-04,,,,,,915734049,,,,,,,False,,,,,,2026-04-11,2015-08-01,
915750796,TB AUTOSALG,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-08-06,,,944 76 314,tbautosalg@gmail.com,,915727719,,,,,,,False,,,,,,2026-04-11,2015-07-28,
915791913,AUTOROOM AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-08-18,,,,,,912759814,,,,,,,False,,,,,,2026-04-11,2015-08-11,
915807658,RR AUTO ANS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,1411,KOLBOTN,,,2015-08-20,,,474 42 525,rr.auto100@gmail.com,,815792262,,,,,,,False,,,,,,2026-04-11,2015-08-10,
915815561,PROGLAZER CONCEPT AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-08-24,,,924 68 269,s-veroen@online.no,,915790186,,,,,,,False,,,,,,2026-04-11,2015-06-30,
915821596,AS BIL SKOGN,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-08-25,,,,,,915802362,,,,,,,False,,,,,,2026-04-11,2015-08-10,
915822533,MARSTEIN BIL,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-08-27,,,,,,898776972,,,,,,,False,,,,,,2026-04-11,2015-03-01,
915828973,HALVORSEN AUTO,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,3036,DRAMMEN,,,2015-08-25,www.facebook.com/halvorsenauto,,402 00 470,post@halvorsenauto.no,,915816223,,,,,,,False,,,,,,2026-04-11,2015-08-24,
915848761,VINCENT AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-08-31,,,,,,915798551,,,,,,,False,,,,,,2026-04-11,2015-08-01,
915864422,VIKEN BRUKTBIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-09-03,,,,,,815852702,,,,,,,False,,,,,,2026-04-11,2015-08-22,
915894186,VANSE AUTOSERVICE KJETIL KRISTIANSEN,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,5,,2015-09-09,,,,,,887733872,,,,,,,False,,,,,,2026-04-11,2015-09-01,
915894666,ROMERIKE BILFORMIDLING AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-09-09,,,471 86 194,,,915842550,,,,,,,False,,,,,,2026-04-11,2015-08-18,
915894771,GIPLING & CO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-09-09,,,990 00 040,post@giplingogco.no,,915842194,,,,,,,False,,,,,,2026-04-11,2015-08-10,
