organisasjonsnummer,navn,naeringskode1,naeringskode1_beskrivelse,naeringskode2,naeringskode2_beskrivelse,naeringskode3,naeringskode3_beskrivelse,organisasjonsform,forretningsadresse,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_kommune,forretningsadresse_kommunenummer,postadresse_postnummer,postadresse_poststed,antall_ansatte,stiftelsesdato,registreringsdato,hjemmeside,telefon,mobil,epostadresse,er_i_konsern,overordnet_enhet,kapital_belop,kapital_type,kapital_valuta,siste_innsendte_aarsregnskap,institusjonell_sektor,institusjonell_sektor_beskrivelse,registrert_i_mva,registrert_i_foretaksregisteret,konkurs,under_avvikling,under_tvangsavvikling,antall_underenheter,hentet_dato
916571046,SKAGEN BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Tors vei 14A,1465,STRØMMEN,LILLESTRØM,3205,,,,2016-01-04,2016-01-15,www.skagenbil.no,,400 20 120,post@skagenbil.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916619863,JETO BILSALG AS,47.810,Detaljhandel med motorvogner,,,,,AS,Stokkaveien 125,4313,SANDNES,SANDNES,1108,,,,2016-01-14,2016-01-26,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916636644,HAUGEN & SØNN AS,47.810,Detaljhandel med motorvogner,,,,,AS,Elvefaret 4,3802,BØ I TELEMARK,MIDT-TELEMARK,4020,,,,2016-01-01,2016-01-27,,,,,False,,40000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916652690,LAMBERTSETER BILSALG AS,47.810,Detaljhandel med motorvogner,,,,,AS,Cecilie Thoresens vei 7,1153,OSLO,OSLO,0301,,,,2016-01-11,2016-01-29,,,454 87 166,zulki_93@hotmail.com,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916659369,ØRJE BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Orreveien 2,1870,ØRJE,MARKER,3122,,,,2016-01-21,2016-02-11,,,92226709,stenfog@online.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,True,False,1,2026-04-11
916682174,BBAUKSJON.NO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Diktervegen 8,5538,HAUGESUND,HAUGESUND,1106,5504,HAUGESUND,,2016-01-26,2016-02-04,bbauksjon.no,,,post@bbauksjon.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
916689128,SKIEN AUTOSENTER AS,47.810,Detaljhandel med motorvogner,,,,,AS,Bjørntvedtvegen 33,3734,SKIEN,SKIEN,4003,,,11,2016-01-07,2016-02-05,,,,,False,,100000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916695810,VINGPARKEN BILSENTER AS,47.810,Detaljhandel med motorvogner,,,,,AS,Hananveien 126,1529,MOSS,MOSS,3103,,,,2016-02-09,2016-02-16,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916702876,BILHALLEN ULSTEINVIK AS,47.810,Detaljhandel med motorvogner,,,,,AS,Sjøgata 81,6065,ULSTEINVIK,ULSTEIN,1516,,,10,2016-01-18,2016-02-08,,,,,False,,600000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916703465,AMVI VIKEN,47.810,Detaljhandel med motorvogner,,,,,ENK,Kaptein Bødtkers gate 29A,6508,KRISTIANSUND N,KRISTIANSUND,1505,,,,,2016-02-08,,,,,False,,,,,,8200,Personlig næringsdrivende,False,False,False,False,False,,2026-04-11
916706014,B.B.E INVEST AS,47.810,Detaljhandel med motorvogner,,,,,AS,Gravdalslien 26,5165,LAKSEVÅG,BERGEN,4601,,,,2016-02-01,2016-02-09,,,,,False,,150000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916721749,BILBUTIKKEN FREDERIKSTAD AS,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,AS,Godtfredsens vei 6,1617,FREDRIKSTAD,FREDRIKSTAD,3107,,,,2016-01-26,2016-02-19,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916729677,CASHBACK BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Vognstølen 42,5096,BERGEN,BERGEN,4601,,,,2016-02-01,2016-02-27,,,,,False,,100000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
916742428,FGR INVEST AS,47.810,Detaljhandel med motorvogner,,,,,AS,Sæla,6817,NAUSTDAL,SUNNFJORD,4647,1366,LYSAKER,,2016-02-01,2016-02-16,,,,,False,,158400.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916742479,FG RACING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Fjordavegen 180,6817,NAUSTDAL,SUNNFJORD,4647,1366,LYSAKER,5,2016-02-01,2016-02-16,www.fgracing.no,,930 99 002,fg@fgracing.no,False,,230000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916765371,AUTOMOBILSELSKABET AS,47.810,Detaljhandel med motorvogner,,,,,AS,Grønebakksvegen 1B,5382,SKOGSVÅG,ØYGARDEN,4626,5834,BERGEN,,2015-12-31,2016-02-18,,,479 11 100,post@automobilselskabet.no,False,,50000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916779194,ASKØY BIL OG DEKK AS,47.810,Detaljhandel med motorvogner,,,,,AS,Florvågvegen 6,5300,KLEPPESTØ,ASKØY,4627,,,,2016-02-01,2016-02-22,,,,,False,,100000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916785887,KRAGERØ AUTO AS,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,AS,Dalaneveien 4,3772,KRAGERØ,KRAGERØ,4014,,,17,2016-01-01,2016-02-25,www.kragero-aauto.no,35 98 12 28,,post@kragero-auto.no,False,,30100.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916797060,AUTOGRANDE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Åsvegen 1,3919,PORSGRUNN,PORSGRUNN,4001,,,8,2015-12-31,2016-03-04,,,,,False,,200000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916802722,MOTORGAR AS,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,AS,Vollamarka 1,7632,ÅSENFJORD,LEVANGER,5037,,,,2016-01-20,2016-02-25,,,,,False,,2000000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916804288,BRUKTBILSENTER AS,47.810,Detaljhandel med motorvogner,,,,,AS,Steinavegen 8,6800,FØRDE,SUNNFJORD,4647,,,,2016-02-15,2016-02-25,,,484 44 846,daniellreed101@icloud.com,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916810644,RAILROAD AS,47.810,Detaljhandel med motorvogner,,,,,AS,Reshjemvegen 128,3677,NOTODDEN,NOTODDEN,4005,,,,2016-01-19,2016-03-21,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916813023,MOMENTI AS,46.710,Engroshandel med motorvogner,,,,,AS,Agnes vei 8,3244,SANDEFJORD,SANDEFJORD,3907,,,,2016-02-25,2016-02-26,momenti.no,,900 33 015,momenti@momenti.no,False,,30000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916824580,E-AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Rosenholmveien 25,1414,TROLLÅSEN,NORDRE FOLLO,3207,1262,OSLO,,2016-02-28,2016-03-01,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
916825471,DUE HAFSLUND AS,47.810,Detaljhandel med motorvogner,,,,,AS,Statsminister Torps vei 13,1738,BORGENHAUGEN,SARPSBORG,3105,,,,2016-02-24,2016-03-01,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916833342,CARTOPIA AS,46.710,Engroshandel med motorvogner,,,,,AS,Dronningens gate 22,0154,OSLO,OSLO,0301,,,,2016-02-10,2016-03-03,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
916846096,NOTODDEN BRUKTBIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Skrivar Wessels veg 5,3676,NOTODDEN,NOTODDEN,4005,,,,2016-02-01,2016-03-04,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916853408,KJØRBEKK AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Bedriftsvegen 100,3735,SKIEN,SKIEN,4003,,,,2016-03-10,2016-03-14,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916856792,KB AUTO,46.710,Engroshandel med motorvogner,,,,,NUF,"Kooli 10, Rummu Alevik",,76102 VASALEMMA VALD,,,2230,SKOTTERUD,,,2016-03-29,,,,,False,,,,,,,,False,False,False,False,False,,2026-04-11
916884354,AUTOLUXE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Kloppaveien 16,1472,FJELLHAMAR,LØRENSKOG,3222,,,,2016-03-04,2016-03-14,,,,post@autoluxe.no,False,,800000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916885296,TRØGSTAD BIL OG MASKINSERVICE AS,47.810,Detaljhandel med motorvogner,47.830,Detaljhandel med motorsykler og tilhørende deler og utstyr,,,AS,Grav Industri 1,1860,TRØGSTAD,INDRE ØSTFOLD,3118,1852,MYSEN,5,2016-01-08,2016-03-14,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916923899,HAVENSTRØM INVEST,47.810,Detaljhandel med motorvogner,,,,,ENK,Hemsbakken 66,3242,SANDEFJORD,SANDEFJORD,3907,,,,,2016-04-14,,97 53 04 35,,,False,,,,,,8200,Personlig næringsdrivende,False,True,False,False,False,,2026-04-11
916931492,B.R. HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Limivegen 6,3721,SKIEN,SKIEN,4003,,,,2016-03-11,2016-03-22,,,,,False,,130000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
916931565,T R HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Limivegen 11,3721,SKIEN,SKIEN,4003,,,,2016-03-11,2016-03-22,,,,,False,,130000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
916932499,RUDEN BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Hadelandsveien 536,3514,HØNEFOSS,RINGERIKE,3305,3514,HØNEFOSS,,2016-03-18,2016-04-13,,,,rudenbil@gmail.com,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916939361,NORSKBUSS AS,47.810,Detaljhandel med motorvogner,,,,,AS,Tretjerndalsveien 50,2016,FROGNER,LILLESTRØM,3205,,,,2016-01-15,2016-04-01,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916972415,MOTRUM AS,47.810,Detaljhandel med motorvogner,,,,,AS,Nesflåtveien 10,4018,STAVANGER,STAVANGER,1103,,,5,2016-03-29,2016-04-05,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
916977190,NITHO GRUPPEN AS,47.810,Detaljhandel med motorvogner,,,,,AS,Tienveien 1,1900,FETSUND,LILLESTRØM,3205,,,,2016-03-17,2016-04-06,,,,,False,,140000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
916983069,MOTORSENTERET SELBU OG TYDAL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Selbuvegen 1688,7580,SELBU,SELBU,5032,,,,2016-03-14,2016-04-07,motorst.no,,911 01 237,post@motorst.no,False,,200000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917009589,DMP BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Klavenesveien 47A,3220,SANDEFJORD,SANDEFJORD,3907,,,,2016-04-04,2016-04-12,,,,,False,,50000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
917014620,TT MOTORSPORT V/THOMAS SPARBY HOLMEN,47.810,Detaljhandel med motorvogner,,,,,ENK,Færdervegen 123,2270,FLISA,ÅSNES,3418,,,,,2016-04-13,,,906 53 789,,False,,,,,,8200,Personlig næringsdrivende,False,False,False,False,False,,2026-04-11
917022496,RØYRVIK SCOOTER OG MASKIN AS,47.810,Detaljhandel med motorvogner,,,,,AS,Ungkarsveien 30,7898,LIMINGEN,RØYRVIK,5043,,,,2016-04-12,2016-04-14,www.royrvikscooter.no,74 33 52 00,,,False,,1331000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917038511,FANA AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Fleslandsvegen 118,5258,BLOMSTERDALEN,BERGEN,4601,,,,2016-03-01,2016-04-18,,,,,False,,100000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917038805,SKARSTEIN SERVICE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Vågneset 14,6030,LANGEVÅG,SULA,1531,6030,LANGEVÅG,,2016-04-11,2016-04-18,www.skarsteinservice.no,,411 83 220,post@skarsteinservice.no,False,,30000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917062722,N. A AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Heggedalveien 13B,4810,EYDEHAVN,ARENDAL,4203,,,,2016-03-01,2016-04-19,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917063966,SALMONOVO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Nedrelia 7,5231,PARADIS,BERGEN,4601,,,,2016-04-07,2016-04-29,,,,,False,,31400.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
917085730,NILS1 BIL V/MARIUS ANDRE NILSEN,47.810,Detaljhandel med motorvogner,,,,,ENK,Vienlinna 125,2750,GRAN,GRAN,3446,,,,,2016-04-22,,,,,False,,,,,,8200,Personlig næringsdrivende,True,True,False,False,False,1,2026-04-11
917085773,VANGEN BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Godviksvingene 164,5179,GODVIK,BERGEN,4601,,,,2016-02-29,2016-04-29,,,952 58 556,,False,,800000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917127204,NOVA TRAILER AS,46.710,Engroshandel med motorvogner,,,,,AS,Kildalsvingen 10,2830,RAUFOSS,VESTRE TOTEN,3443,,,,2016-03-16,2016-05-10,,,,,False,,40000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917149437,NITTEBERG BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Tienveien 1,1900,FETSUND,LILLESTRØM,3205,,,17,2016-04-19,2016-05-10,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917200505,SOFALAND & BILSALG AS,47.810,Detaljhandel med motorvogner,,,,,AS,Arteidveien 100,2040,KLØFTA,LILLESTRØM,3205,,,,2016-05-03,2016-05-25,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917201374,TACAMERA AS,47.810,Detaljhandel med motorvogner,47.830,Detaljhandel med motorsykler og tilhørende deler og utstyr,,,AS,Løvsethaugen 25,7224,MELHUS,MELHUS,5028,,,,2016-05-11,2016-05-21,,,,,False,,130000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917202265,OLA ENGEN AAS,47.810,Detaljhandel med motorvogner,,,,,ENK,Soknedalsveien 923,7288,SOKNEDAL,MIDTRE GAULDAL,5027,,,,,2016-05-21,,,,,False,,,,,,8200,Personlig næringsdrivende,False,False,False,False,False,,2026-04-11
917216487,ROAR STORSLETTEN AS,47.810,Detaljhandel med motorvogner,,,,,AS,Fodstadgutua 92,2850,LENA,ØSTRE TOTEN,3442,,,,2016-02-29,2016-05-24,,,,,False,,110000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917295344,RE-DRIVE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Toldbodgaten 37,1632,GAMLE FREDRIKSTAD,FREDRIKSTAD,3107,,,,2016-05-16,2016-06-09,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917338558,STERN AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Sivløkka 1,1664,ROLVSØY,FREDRIKSTAD,3107,1662,ROLVSØY,,2016-05-10,2016-06-18,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
917338795,ROMERIKE AUTOHUS AS,47.810,Detaljhandel med motorvogner,,,,,AS,Kongsvingervegen 6,2040,KLØFTA,ULLENSAKER,3209,,,,2016-05-11,2016-06-18,,,,,False,,100000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917348421,H.G BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Gamle Lommedalsvei 115,1348,RYKKINN,BÆRUM,3201,1348,RYKKINN,,2016-06-01,2016-06-21,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917365466,T R INVEST AS,47.810,Detaljhandel med motorvogner,,,,,AS,Siljanvegen 36,3719,SKIEN,SKIEN,4003,3721,SKIEN,,2016-06-02,2016-06-23,,,,,False,,100000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917365512,CITY BIL SKIEN AS,47.810,Detaljhandel med motorvogner,,,,,AS,Siljanvegen 36,3719,SKIEN,SKIEN,4003,,,,2016-06-02,2016-06-23,,,,,False,,100000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917368503,SEMBER HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Hestehovveien 112,1890,RAKKESTAD,RAKKESTAD,3120,,,,2016-06-10,2016-06-24,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
917391572,JT BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Hvålaskeidet 8,3681,NOTODDEN,NOTODDEN,4005,,,,2016-06-18,2016-06-30,,,416 20 000,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917393656,SØRLIE AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Gråmyrvegen 18,7608,LEVANGER,LEVANGER,5037,,,,2016-06-13,2016-06-29,www.sorlieauto.no,,91 13 20 07,salg@sorlieauto.no,False,,300000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917403147,BUENGVEGEN AS,47.810,Detaljhandel med motorvogner,,,,,AS,Ladeveien 28,7066,TRONDHEIM,TRONDHEIM,5001,,,,2016-06-02,2016-06-30,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
917410925,CARTUNE NORDIC AS,47.810,Detaljhandel med motorvogner,,,,,AS,Svelvikveien 61T,3039,DRAMMEN,DRAMMEN,3301,3002,DRAMMEN,,2016-06-09,2016-07-05,vplus.no,32 89 44 10,,,False,,4160000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917423830,STOR-OSLO BRUKTBIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Billingstadsletta 16,1396,BILLINGSTAD,ASKER,3203,,,5,2016-06-07,2016-07-05,www.mycar.no,,,,False,,1071000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917428964,CLASSIC 11 AS,47.810,Detaljhandel med motorvogner,,,,,AS,Martin Linges vei 25,1364,FORNEBU,BÆRUM,3201,,,,2016-06-15,2016-07-05,,,,,False,,100000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917440131,TRUCKEXPORT.NO AS,47.810,Detaljhandel med motorvogner,,,,,AS,c/o E18 Truckcenter AS; Kjørholtvegen 23,3940,PORSGRUNN,PORSGRUNN,4001,,,,2016-06-15,2016-07-28,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917448248,VARRE INVEST AS,47.810,Detaljhandel med motorvogner,,,,,AS,Wedel Jarlsbergs vei 19B,1358,JAR,BÆRUM,3201,,,,2016-06-23,2016-07-08,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917458979,PROFFTELT AS,47.810,Detaljhandel med motorvogner,,,,,AS,Klokkervegen 3,7505,STJØRDAL,STJØRDAL,5035,,,,2016-06-29,2016-07-14,,,,,False,,60000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917470944,ATLANTIC MOTORS AS,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,AS,Lierbakkene 27,3425,REISTAD,LIER,3312,3474,ÅROS,,2016-06-10,2016-07-14,atlanticmotors.no,,480 50 765,sondrealexsander45@gmail.com,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,,2026-04-11
917484740,SLÅTTA DELESERVICE,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,ENK,Åsenvegen 1,3690,HJARTDAL,HJARTDAL,4024,,,,,2016-07-19,,,,,False,,,,,,8200,Personlig næringsdrivende,True,True,False,False,False,1,2026-04-11
917487618,BP BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Mjåvannsvegen 3,4628,KRISTIANSAND S,KRISTIANSAND,4204,,,6,2016-06-22,2016-07-20,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917502811,NORDAC AS,47.810,Detaljhandel med motorvogner,,,,,AS,Rødbekkveien 4A,1389,HEGGEDAL,ASKER,3203,,,,2016-06-23,2016-08-10,,67 20 45 00,,nordac@online.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917503680,MOBILE ARENDAL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Industritoppen 8B,4848,ARENDAL,ARENDAL,4203,,,16,2016-07-05,2016-07-26,,,,,False,,2150000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917510091,AVAT HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Lonastien 2,4324,SANDNES,SANDNES,1108,,,,2016-06-24,2016-07-28,,,,,True,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
917534683,MV ANLEGG AS,46.710,Engroshandel med motorvogner,,,,,AS,Opprødveien 11,1554,SON,VESTBY,3216,,,,2016-07-03,2016-08-05,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917542511,BLINDHEIM ATV AS,47.810,Detaljhandel med motorvogner,,,,,AS,Blindheimsvegen 47,6230,SYKKYLVEN,SYKKYLVEN,1528,,,,2016-07-09,2016-08-09,,,,,False,,50000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,,2026-04-11
917545707,PROMOTION AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Vestre Rosten 61,7072,HEIMDAL,TRONDHEIM,5001,,,,2016-06-22,2016-08-09,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917563934,RUNE INVEST AS,46.710,Engroshandel med motorvogner,,,,,AS,Rådyrveien 7,4879,GRIMSTAD,GRIMSTAD,4202,,,,2016-06-10,2016-08-13,,,,,False,,601696.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
917581320,DICE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Brynsveien 11,0667,OSLO,OSLO,0301,,,,2016-06-12,2016-08-17,,,,,False,,30000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
917584869,SALTVEDT RACING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Fjellvegen 2,5532,HAUGESUND,HAUGESUND,1106,,,,2016-08-01,2016-08-18,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917587752,ZYRUS ENGINEERING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Majorvegen 19,2030,NANNESTAD,NANNESTAD,3238,,,8,2016-07-26,2016-08-24,,,948 26 235,rm@zyrus.no,False,,300000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917593477,PANORAMA AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Lundekroken 25,3940,PORSGRUNN,PORSGRUNN,4001,,,,2016-05-26,2016-08-30,,,,,False,,100000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
917594686,KVALITETSHENGERE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Tungasletta 12,7047,TRONDHEIM,TRONDHEIM,5001,,,,2016-07-28,2016-08-24,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
