Navn,OrgNr,NACE_kode,NACE_beskrivelse,AntallAnsatte,aar,driftsinntekter,driftskostnad,driftsresultat,%Driftsmargin_BMRFY,finansinntekter,finanskostnader,%NettoFinansMargin_BMRFY,nettofinans,resultatFørSkatt,%ResultatFørSkatt_BMRFY,aarsresultat,%nettoresultatmargin_BMRFY,totalresultat,anleggsmidler,omlopsmidler,%likviditetsgrad_BMRFY,sumEiendeler,%ROA_BMRFY,innskuttEgenkapital,egenkapital,%egenkapitalandel_BMRFY,%ROE_BMRFY,sumGjeld,%gearing_BMRFY,%Gjeldsgrad_BMRFY,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,omsetningPerAnsatt_BMRFY
LIER DEKK OG FELG AS,944726691,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",8,2023,6822410,6697399,125011,"1,83 %",,,,,125011,"1,83 %",97509,"1,43 %",97509,208080,2075006,"147,75 %",2283086,"4,27 %",,878679,"38,49 %","11,10 %",1404407,"61,51 %","159,83 %",2283086,0,1404407,852801
LIER LASTEBILSERVICE AS,991741569,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",12,2023,34832604,31150486,3682118,"10,57 %",97766,31052,"0,19 %",66714,3748832,"10,76 %",2923188,"8,39 %",2923188,1350846,10329993,"218,29 %",11680839,"25,03 %",,6512795,"55,76 %","44,88 %",5168045,"44,24 %","79,35 %",11680839,435827,4732217,2902717
LIERTOPPEN BILPLEIE AS,814887812,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,3255855,3272604,-16749,"-0,51 %",767,1748,"-0,03 %",-981,-17730,"-0,54 %",-13829,"-0,42 %",-13829,66230,129135,"-235,97 %",195365,"-7,08 %",,250090,"128,01 %","-5,53 %",-54725,"-28,01 %","-21,88 %",195365,0,-54725,406982
LIFO KONSULT AS,982698308,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",6,2023,19883006,19138197,744810,"3,75 %",5718,169196,"-0,82 %",-163479,581331,"2,92 %",453745,"2,28 %",453745,525600,3226359,"131,12 %",3751959,"12,09 %",,1139880,"30,38 %","39,81 %",2612079,"69,62 %","229,15 %",3751959,151454,2460625,3313834
LILLEHAMMER BILVERKSTED AS,912153797,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",13,2023,6386203,6763085,-376882,"-5,90 %",,5179,"-0,08 %",-5179,-382061,"-5,98 %",-382061,"-5,98 %",,34716,1375437,"73,12 %",1410153,"-27,09 %",,-470860,"-33,39 %","81,14 %",1881013,"133,39 %","-399,48 %",1410153,0,1881013,491246
LILLEROLF'S MC SHOP AS,984501463,45.402,"Detaljhandel med motorsykler, deler og utstyr",9,2023,27083026,0,666722,"2,46 %",0,0,"0,00 %",0,295885,"1,09 %",229895,"0,85 %",229895,604836,11777296,"499,26 %",12382132,"1,86 %",,5125943,"41,40 %","4,48 %",7256189,"58,60 %","141,56 %",12382132,0,2358961,3009225
LILLESTRØM BIL & KAROSSERI AS,942896115,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",13,2023,24925764,23014279,1911485,"7,67 %",17414,190762,"-0,70 %",-173348,1738137,"6,97 %",1388749,"5,57 %",,632515,5459081,"113,74 %",6091596,"22,80 %",,875451,"14,37 %","158,63 %",5216145,"85,63 %","595,82 %",6091596,416456,4799689,1917366
LILLESTRØM BILSERVICE AS,997986008,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",13,2023,7391241,7350104,41138,"0,56 %",0,18834,"-0,25 %",-18834,22304,"0,30 %",22304,"0,30 %",,216076,1131498,"106,51 %",1347574,"1,66 %",,124282,"9,22 %","17,95 %",1223292,"90,78 %","984,29 %",1347574,160921,1062371,568557
LILLESTRØM DEKKSENTER AS,914633818,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",16,2023,21199902,20434121,765781,"3,61 %",52199,567014,"-2,43 %",-514815,250966,"1,18 %",185990,"0,88 %",,1831662,9476446,"134,52 %",11308108,"1,64 %",,1653625,"14,62 %","11,25 %",9654483,"85,38 %","583,84 %",11308108,2609592,7044891,1324994
LINDESNES AUTO AS,980104141,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,8880863,8644305,236558,"2,66 %",499,54033,"-0,60 %",-53534,183024,"2,06 %",142864,"1,61 %",142864,1036951,3525496,"240,45 %",4562447,"3,13 %",,2330190,"51,07 %","6,13 %",2232257,"48,93 %","95,80 %",4562447,766071,1466186,1776173
LINK AUTO AS,913492501,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,34502638,30672300,3830338,"11,10 %",45135,262356,"-0,63 %",-217221,3613117,"10,47 %",2818530,"8,17 %",,7215868,11278211,"284,00 %",18494078,"15,24 %",,9938434,"53,74 %","28,36 %",8555645,"46,26 %","86,09 %",18494078,4584435,3971210,3833626
LOFOTEN BIL AS,995003430,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",20,2023,25307016,23483529,1823487,"7,21 %",14600,401260,"-1,53 %",-386660,1436827,"5,68 %",1115031,"4,41 %",1115031,9233004,3559457,"38,58 %",12792461,"8,72 %",,3480462,"27,21 %","32,04 %",9311998,"72,79 %","267,55 %",12792461,85985,9226014,1265351
LUCID NORWAY AS,927940183,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",10,2023,36057380,35686631,370749,"1,03 %",66330,198880,"-0,37 %",-132550,238199,"0,66 %",185795,"0,52 %",185795,27593085,56656372,"67,22 %",84249456,"0,22 %",,-58323,"-0,07 %","-318,56 %",84307780,"100,07 %","-144553,23 %",84249456,19233,84288547,3605738
LUND OLJESENTER AS,993100137,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",7,2023,15402887,12299836,3103051,"20,15 %",7115,31820,"-0,16 %",-24705,3078346,"19,99 %",2376715,"15,43 %",,277613,14737806,"671,16 %",15015418,"15,83 %",,12819557,"85,38 %","18,54 %",2195862,"14,62 %","17,13 %",15015418,0,2195862,2200412
LUNDAMO AUTO AS,960865219,47.642,Butikkhandel med fritidsbåter og -utstyr,9,2023,20206486,22716916,-2510429,"-12,42 %",1298,372532,"-1,84 %",-371234,-2881663,"-14,26 %",-2881663,"-14,26 %",-2881663,188030,7481279,"178,81 %",7669309,"-37,57 %",,-238566,"-3,11 %","1207,91 %",7907876,"103,11 %","-3314,75 %",7669309,3723986,4183890,2245165
LUNDBERG BILSERVICE AS,981407997,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",12,2023,12752284,12645203,107081,"0,84 %",18603,43212,"-0,19 %",-24609,82472,"0,65 %",64384,"0,50 %",,625291,4912008,"369,73 %",5537299,"1,16 %",,3155702,"56,99 %","2,04 %",2381597,"43,01 %","75,47 %",5537299,1053044,1328553,1062690
LUNHEIM BIL AS,831619112,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,10775486,9173940,1601547,"14,86 %",5442,154,"0,05 %",5289,1606835,"14,91 %",1253315,"11,63 %",,239560,3025891,"101,99 %",3265450,"38,38 %",,298526,"9,14 %","419,83 %",2966924,"90,86 %","993,86 %",3265450,0,2966924,1795914
LUNNER AUTO AS,912158357,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,15404655,13001812,2402843,"15,60 %",86638,4079,"0,54 %",82559,2485402,"16,13 %",1938306,"12,58 %",,3328348,8001877,"94,65 %",11330225,"17,11 %",,2636900,"23,27 %","73,51 %",8693325,"76,73 %","329,68 %",11330225,239122,8454204,2567443
LURA AUTO SERVICE AS,916100132,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",9,2023,9143511,8758865,384646,"4,21 %",15950,61260,"-0,50 %",-45310,339335,"3,71 %",339335,"3,71 %",339335,71411,1990435,"139,60 %",2061846,"16,46 %",,636065,"30,85 %","53,35 %",1425782,"69,15 %","224,16 %",2061846,0,1425782,1015946
LUXURY RIDES AS,926560921,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,5302149,4768950,533199,"10,06 %",1901,582,"0,02 %",1319,534518,"10,08 %",457746,"8,63 %",,74207,1096718,"158,77 %",1170925,"39,09 %",,318942,"27,24 %","143,52 %",851982,"72,76 %","267,13 %",1170924,161206,690776,1060430
LVD LASTVAGNSDELAR AS,947215272,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",18,2023,95799311,90554953,5244358,"5,47 %",32811,3193628,"-3,30 %",-3160817,2083541,"2,17 %",1607870,"1,68 %",,17660595,41163544,"103,48 %",58824139,"2,73 %",,7484748,"12,72 %","21,48 %",51339392,"87,28 %","685,92 %",58824140,11559354,39780038,5322184
LYE BIL AS,988720461,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",12,2023,9926779,9387676,539103,"5,43 %",36318,25836,"0,11 %",10483,549586,"5,54 %",428619,"4,32 %",428619,507870,1992340,"101,77 %",2500210,"17,14 %",,295858,"11,83 %","144,87 %",2204353,"88,17 %","745,07 %",2500210,246662,1957690,827232
LYNGDAL KAROSSERI & AUTO AS,914060370,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",54,2023,226684577,220627854,6056723,"2,67 %",334921,1190344,"-0,38 %",-855423,5201300,"2,29 %",4057016,"1,79 %",4057016,10951597,46930884,"120,75 %",57882480,"7,01 %",,14216439,"24,56 %","28,54 %",43666041,"75,44 %","307,15 %",57882480,4800907,38865134,4197863
LYNGSEIDET BILVERKSTED AS,958755287,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,9749432,10325777,-576345,"-5,91 %",10781,1418,"0,10 %",9363,-566982,"-5,82 %",-447668,"-4,59 %",,394939,2038658,"137,77 %",2433597,"-18,40 %",,953813,"39,19 %","-46,93 %",1479784,"60,81 %","155,14 %",2433597,0,1479784,1218679
LYSHOLM BIL AS,923166866,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",14,2023,250558522,245318487,5240034,"2,09 %",75908,2749991,"-1,07 %",-2674083,2565951,"1,02 %",1974888,"0,79 %",1974888,2140369,39818805,"108,07 %",41959174,"4,71 %",,4917865,"11,72 %","40,16 %",37041309,"88,28 %","753,20 %",41959174,194629,36846680,17897037
LYSHOLM BIL DRAMMEN AS,930015563,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,44117172,42874150,1243022,"2,82 %",,445777,"-1,01 %",-445777,797244,"1,81 %",623938,"1,41 %",623938,1193480,9262301,"108,09 %",10455781,"5,97 %",,698521,"6,68 %","89,32 %",9757261,"93,32 %","1396,85 %",10455781,1188085,8569176,8823434
LYSHOLM BIL OUTLET AS,931000845,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,20535478,20126941,408538,"1,99 %",,255952,"-1,25 %",-255952,152585,"0,74 %",119306,"0,58 %",119306,1271415,5085330,"127,79 %",6356745,"1,88 %",,199306,"3,14 %","59,86 %",6157439,"96,86 %","3089,44 %",6356745,2178149,3979290,4107096
LØRENSKOG AUTO CARE AS,911702142,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,5250153,4311116,939037,"17,89 %",0,16637,"-0,32 %",-16637,922400,"17,57 %",720742,"13,73 %",,1973521,910934,"91,33 %",2884455,"24,99 %",,1671094,"57,93 %","43,13 %",1213361,"42,07 %","72,61 %",2884455,215918,997443,656269
LØRENSKOG BILSKADESENTER AS,995811758,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,6888162,6761467,126696,"1,84 %",4815,1737,"0,04 %",3077,129773,"1,88 %",101302,"1,47 %",101302,170699,1408559,"171,30 %",1579258,"6,41 %",,757002,"47,93 %","13,38 %",822256,"52,07 %","108,62 %",1579258,0,822256,861020
LØVAAS MOTOR AS,986308059,45.402,"Detaljhandel med motorsykler, deler og utstyr",9,2023,30672320,29021039,1651281,"5,38 %",192873,119588,"0,24 %",73285,1724566,"5,62 %",1336334,"4,36 %",1336334,139592,13483438,"176,18 %",13623030,"9,81 %",,5969945,"43,82 %","22,38 %",7653085,"56,18 %","128,19 %",13623030,0,7653085,3408036
LØVIKNES CARAVANIMPORT AS,994504258,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",9,2023,108591928,105864021,2727907,"2,51 %",82312,2677437,"-2,39 %",-2595125,132782,"0,12 %",80247,"0,07 %",80247,868797,38617273,"137,62 %",39486069,"0,20 %",,5507426,"13,95 %","1,46 %",33978643,"86,05 %","616,96 %",39486069,5918108,28060535,12065770
M NORDVIK AS,960852338,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",59,2023,297760957,331414945,-33653988,"-11,30 %",587320,1460478,"-0,29 %",-873158,-34527146,"-11,60 %",-26940138,"-9,05 %",-26940138,7332821,67703647,"101,90 %",75036468,"-35,90 %",,4797320,"6,39 %","-561,57 %",70239148,"93,61 %","1464,13 %",75036468,3800000,66439148,5046796
MACK AUTO AS,932204371,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",6,2023,59615448,56952283,2663164,"4,47 %",103987,234767,"-0,22 %",-130780,2532384,"4,25 %",1975259,"3,31 %",1975259,3898021,9011687,"270,25 %",12909707,"15,30 %",,7358024,"57,00 %","26,84 %",5551684,"43,00 %","75,45 %",12909707,2217064,3334619,9935908
MADLA BIL AS,987768088,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,21811697,21251833,559864,"2,57 %",8295,84154,"-0,35 %",-75859,484005,"2,22 %",373824,"1,71 %",373824,886615,6023787,"177,45 %",6910402,"5,41 %",,3345770,"48,42 %","11,17 %",3564631,"51,58 %","106,54 %",6910402,169919,3394712,2423522
MADLAND BILVERKSTED AS,935439868,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",22,2023,26058849,23956157,2102693,"8,07 %",119076,42201,"0,30 %",76875,2179567,"8,36 %",1676461,"6,43 %",1676461,507420,5591770,"93,27 %",6099190,"27,49 %",,103703,"1,70 %","1616,60 %",5995487,"98,30 %","5781,40 %",6099190,0,5995487,1184493
MAGNUS MOTOR AS,980909816,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,9568707,9335927,232780,"2,43 %",15663,5253,"0,11 %",10410,243190,"2,54 %",192020,"2,01 %",,662388,2161662,"153,82 %",2824050,"6,80 %",,1418741,"50,24 %","13,53 %",1405311,"49,76 %","99,05 %",2824051,0,1405311,956871
MAKS AUTO SERVIS AS,952203541,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,5920963,6053549,-132586,"-2,24 %",265,9310,"-0,15 %",-9045,-141631,"-2,39 %",-141631,"-2,39 %",-141631,12324,984604,"114,46 %",996928,"-14,21 %",,136736,"13,72 %","-103,58 %",860193,"86,28 %","629,09 %",996928,0,860193,1184193
MAN TRUCK & BUS NORGE AS,824387842,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",279,2023,1351889933,1304401566,47488367,"3,51 %",14801237,12393457,"0,18 %",2407780,49896147,"3,69 %",20936310,"1,55 %",,1800731443,975151363,"83,15 %",2775882806,"0,75 %",,181119417,"6,52 %","11,56 %",2594763389,"93,48 %","1432,63 %",2775882806,1422061746,1172701643,4845484
MANDAL BILVERKSTED AS,920024750,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",12,2023,18834225,18197522,636703,"3,38 %",10338,170222,"-0,85 %",-159885,476818,"2,53 %",348183,"1,85 %",348183,1440010,3893184,"157,44 %",5333194,"6,53 %",,949496,"17,80 %","36,67 %",4383698,"82,20 %","461,69 %",5333194,1910910,2472788,1569519
MANDAL DEKKSENTER AS,996312933,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",18,2023,14407671,13819241,588430,"4,08 %",10919,331516,"-2,23 %",-320597,267833,"1,86 %",208141,"1,44 %",208141,2926781,5321170,"196,83 %",8247952,"2,52 %",,2720672,"32,99 %","7,65 %",5527280,"67,01 %","203,16 %",8247952,2823847,2703433,800426
MARNARBIL AS,818531982,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,9488571,8880773,607798,"6,41 %",445,7846,"-0,08 %",-7401,600397,"6,33 %",468025,"4,93 %",468025,149253,1861143,"130,56 %",2010397,"23,28 %",,584843,"29,09 %","80,03 %",1425553,"70,91 %","243,75 %",2010397,0,1425553,1054286
MARSHALL VALDRES AS,920278280,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",11,2023,6394363,6149803,244560,"3,82 %",2354,24191,"-0,34 %",-21837,222723,"3,48 %",222723,"3,48 %",,695000,1966592,"58,33 %",2661592,"8,37 %",,-931247,"-34,99 %","-23,92 %",3592838,"134,99 %","-385,81 %",2661592,221125,3371713,581306
MARTHINSEN BIL & LAKK AS,924847158,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",14,2023,17509513,16911420,598093,"3,42 %",7289,118301,"-0,63 %",-111013,487080,"2,78 %",379933,"2,17 %",,3373758,3802119,"142,58 %",7175877,"5,29 %",,3257619,"45,40 %","11,66 %",3918258,"54,60 %","120,28 %",7175877,1251637,2666621,1250680
MASKIN & AUTO SERVICE AS,947820370,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",15,2023,39140811,37902427,1238385,"3,16 %",59215,88107,"-0,07 %",-28892,1209493,"3,09 %",942488,"2,41 %",942488,1416605,18355964,"135,36 %",19772569,"4,77 %",,6211894,"31,42 %","15,17 %",13560674,"68,58 %","218,30 %",19772569,0,13560674,2609387
MASKIN & AUTO SERVICE SØR AS,991393919,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",13,2023,29224056,28158374,1065682,"3,65 %",129807,317472,"-0,64 %",-187665,878017,"3,00 %",686648,"2,35 %",686648,1811541,20682108,"307,49 %",22493649,"3,05 %",,9216300,"40,97 %","7,45 %",13277349,"59,03 %","144,06 %",22493649,6551200,6726150,2248004
MASKIN & BIL AS,818779852,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,11197112,10467735,729377,"6,51 %",15867,192,"0,14 %",15675,745052,"6,65 %",581403,"5,19 %",581403,447799,1208385,"122,91 %",1656184,"35,10 %",,673048,"40,64 %","86,38 %",983136,"59,36 %","146,07 %",1656184,0,983136,1119711
MASKINRINGEN AS,911815443,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",11,2023,9869161,9284233,584928,"5,93 %",363553,767909,"-4,10 %",-404356,180572,"1,83 %",69746,"0,71 %",,4679000,4331941,"231,43 %",9010941,"0,77 %",,6472597,"71,83 %","1,08 %",2538344,"28,17 %","39,22 %",9010941,666521,1871823,897196
MAUSEIDVÅG BILVERKSTED AS,916807473,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,7201273,7093426,107847,"1,50 %",30,328,"-0,00 %",-298,107549,"1,49 %",83888,"1,16 %",83888,1186196,1023672,"72,60 %",2209868,"3,80 %",,501214,"22,68 %","16,74 %",1708655,"77,32 %","340,90 %",2209868,298714,1409941,900159
MAX CARAVAN AS,920058116,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",8,2023,29691579,29216815,474764,"1,60 %",2921,162980,"-0,54 %",-160059,314704,"1,06 %",249556,"0,84 %",249556,248242,2769681,"129,53 %",3017922,"8,27 %",,879603,"29,15 %","28,37 %",2138320,"70,85 %","243,10 %",3017922,0,2138320,3711447
MAXI BILPLEIE OG BILVASK AS,920354815,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,1330936,1064200,266736,"20,04 %",932,8488,"-0,57 %",-7556,259180,"19,47 %",164820,"12,38 %",,0,309924,"108,49 %",309924,"53,18 %",,262584,"84,73 %","62,77 %",306520,"98,90 %","116,73 %",569104,20854,285666,221823
MB AUTO KALAND AS,914218241,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",5,2023,52084476,51582308,502168,"0,96 %",13390,280987,"-0,51 %",-267597,234572,"0,45 %",234572,"0,45 %",234572,27000,10767656,"568,90 %",10794656,"2,17 %",,4294001,"39,78 %","5,46 %",6500655,"60,22 %","151,39 %",10794656,4607940,1892715,10416895
MC DRAMMEN AS,988809012,45.402,"Detaljhandel med motorsykler, deler og utstyr",16,2023,29321708,28782067,539641,"1,84 %",10492,286111,"-0,94 %",-275619,264022,"0,90 %",210976,"0,72 %",,0,10532715,"177,08 %",10532715,"2,00 %",,4584663,"43,53 %","4,60 %",5948052,"56,47 %","129,74 %",10532715,0,5948052,1832607
MC EXPERTEN AS,958062265,45.402,"Detaljhandel med motorsykler, deler og utstyr",14,2023,30751277,35164130,-4412853,"-14,35 %",0,149599,"-0,49 %",-149599,-4562451,"-14,84 %",-4562451,"-14,84 %",,229681,11017494,"113,51 %",11247175,"-40,57 %",,1378495,"12,26 %","-330,97 %",9868680,"87,74 %","715,90 %",11247175,162455,9706225,2196520
MC LEA AS,981275268,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",6,2023,13290415,14963534,-1673119,"-12,59 %",61181,653304,"-4,46 %",-592124,-2265243,"-17,04 %",-2401067,"-18,07 %",-2401067,101576,16458023,"226,37 %",16559600,"-14,50 %",,200000,"1,21 %","-1200,53 %",16359600,"98,79 %","8179,80 %",16559600,0,7270548,2215069
MC OSLO AS,919050942,45.402,"Detaljhandel med motorsykler, deler og utstyr",40,2023,150455728,147936821,2518907,"1,67 %",348607,239055,"0,07 %",109553,2628460,"1,75 %",2046238,"1,36 %",2046238,2792487,35723302,"259,27 %",38515789,"5,31 %",,24737634,"64,23 %","8,27 %",13778155,"35,77 %","55,70 %",38515789,0,13778155,3761393
MC UTSTYR AS,928562336,45.402,"Detaljhandel med motorsykler, deler og utstyr",6,2023,24714090,23087860,1626230,"6,58 %",,20294,"-0,08 %",-20294,1605936,"6,50 %",1250436,"5,06 %",1250436,0,8479790,"198,84 %",8479790,"14,75 %",,4215059,"49,71 %","29,67 %",4264731,"50,29 %","101,18 %",8479790,165,4264566,4119015
MC-BUTIKKEN AS,927609460,45.402,"Detaljhandel med motorsykler, deler og utstyr",9,2023,12331642,12245297,86345,"0,70 %",1640,101592,"-0,81 %",-99952,-13607,"-0,11 %",-15664,"-0,13 %",,225260,2547967,"199,64 %",2773227,"-0,56 %",,441787,"15,93 %","-3,55 %",2331440,"84,07 %","527,73 %",2773227,1055134,1276307,1370182
MC-MARINE AS,934268954,45.403,Vedlikehold og reparasjon av motorsykler,10,2023,27898261,26290996,1607265,"5,76 %",55081,44813,"0,04 %",10268,1617533,"5,80 %",1261029,"4,52 %",1261029,504814,10698125,"382,89 %",11202938,"11,26 %",,8333888,"74,39 %","15,13 %",2869050,"25,61 %","34,43 %",11202938,75000,2794050,2789826
MC-UTSTYR BERGEN AS,927210703,45.402,"Detaljhandel med motorsykler, deler og utstyr",9,2023,13585153,11404941,2180212,"16,05 %",-12154,2820,"-0,11 %",-14974,2165238,"15,94 %",1687923,"12,42 %",1687923,126225,5966719,"167,19 %",6092943,"27,70 %",,2672492,"43,86 %","63,16 %",3420451,"56,14 %","127,99 %",6092943,-148353,3568804,1509461
MDESIGN AS,913857461,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,16495312,15815895,679418,"4,12 %",-808,128790,"-0,79 %",-129598,549820,"3,33 %",402795,"2,44 %",402795,248465,7156398,"132,21 %",7404863,"5,44 %",,1915586,"25,87 %","21,03 %",5489277,"74,13 %","286,56 %",7404863,76538,5412738,1649531
MEKO BILVERKSTED AS,920377068,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",212,2023,313111663,294359984,18751679,"5,99 %",794961,120695,"0,22 %",674266,19425945,"6,20 %",15013096,"4,79 %",,21605106,51675861,"101,07 %",73280967,"20,49 %",,22154572,"30,23 %","67,77 %",51126395,"69,77 %","230,77 %",73280967,0,51126395,1476942
MELAND AUTO AS,965510621,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",15,2023,23777024,22465623,1311401,"5,52 %",37543,151278,"-0,48 %",-113735,1197666,"5,04 %",896094,"3,77 %",,3849601,6687345,"162,93 %",10536946,"8,50 %",,4829597,"45,83 %","18,55 %",5707350,"54,17 %","118,17 %",10536947,1602828,4104522,1585135
MELBY AUTO AVDELING SKJETTEN AS,999320325,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,11715834,12019706,-303873,"-2,59 %",8628,233542,"-1,92 %",-224914,-528786,"-4,51 %",-528786,"-4,51 %",-528786,1140405,1383154,"120,59 %",2523559,"-20,95 %",,-1731172,"-68,60 %","30,54 %",4254731,"168,60 %","-245,77 %",2523559,3107777,1146954,1673691
MELDAL DEKK OG SERVICE AS,927237571,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,2799336,2716090,83247,"2,97 %",0,55600,"-1,99 %",-55600,27647,"0,99 %",27647,"0,99 %",,247547,577341,"202,85 %",824888,"3,35 %",,-14311,"-1,73 %","-193,19 %",839199,"101,73 %","-5864,01 %",824888,554590,284609,466556
MELHUS AUTOSERVICE AS,995595575,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,3788265,3714047,74218,"1,96 %",5425,153628,"-3,91 %",-148202,-73985,"-1,95 %",-73985,"-1,95 %",,112847,424671,"36,80 %",537518,"-13,76 %",,-1295629,"-241,04 %","5,71 %",1833146,"341,04 %","-141,49 %",537518,679066,1154080,631378
MELHUS BILSKADESENTER AS,914327660,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,10314823,10334413,-19589,"-0,19 %",6054,32194,"-0,25 %",-26140,-45730,"-0,44 %",-89250,"-0,87 %",-89250,121575,1099361,"74,02 %",1220935,"-7,31 %",,-409155,"-33,51 %","21,81 %",1630090,"133,51 %","-398,40 %",1220935,144803,1485287,1473546
MELKILD BILVERKSTED AS,962274307,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,18613083,18387350,225733,"1,21 %",1975,113911,"-0,60 %",-111936,113797,"0,61 %",88496,"0,48 %",88496,2041960,3464835,"142,30 %",5506795,"1,61 %",,1200998,"21,81 %","7,37 %",4305798,"78,19 %","358,52 %",5506796,1870861,2434937,2326635
MENARMO AS,919171170,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",150,2023,560085509,549578365,10507144,"1,88 %",437576,4079473,"-0,65 %",-3641897,6865247,"1,23 %",5341137,"0,95 %",5341137,83998575,151626527,"159,26 %",235625102,"2,27 %",,137450962,"58,33 %","3,89 %",98174140,"41,67 %","71,42 %",235625102,2965632,95208508,3733903
MERÅKER BIL OG FRITID AS,999065112,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,9293291,9162117,131174,"1,41 %",18389,24556,"-0,07 %",-6168,125006,"1,35 %",96547,"1,04 %",,123614,2949692,"170,93 %",3073305,"3,14 %",,1347665,"43,85 %","7,16 %",1725640,"56,15 %","128,05 %",3073305,0,1725640,1032588
MESTAD BIL AS,930572586,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,5997491,6125825,-128334,"-2,14 %",6142,2487,"0,06 %",3655,-124679,"-2,08 %",-124679,"-2,08 %",,0,1219672,"127,80 %",1219672,"-10,22 %",,265321,"21,75 %","-46,99 %",954350,"78,25 %","359,70 %",1219672,0,954350,666388
